Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
44,U.C. Riverside,Los Angeles Basin,1/1/2000,001,0.36, ,0.00, ,47, ,0.9, ,12.0, ,7.2, ,9.2, ,89, ,64, ,80, ,6.0, ,1.4, ,120.4, ,10.7, 
44,U.C. Riverside,Los Angeles Basin,1/2/2000,002,1.72, ,0.00, ,143, ,0.7, ,14.7, ,4.4, ,8.8, ,93, ,31, ,63, ,2.1, ,1.6, ,136.8, ,10.5, 
44,U.C. Riverside,Los Angeles Basin,1/3/2000,003,2.24, ,0.00, ,143, ,0.5, ,19.2, ,1.9, ,10.4, ,76, ,15, ,37, ,-3.5, ,1.7, ,149.0, ,10.1, 
44,U.C. Riverside,Los Angeles Basin,1/4/2000,004,2.30, ,0.00, ,143, ,0.5, ,21.5, ,5.1, ,12.5, ,55, ,16, ,32, ,-3.5, ,1.5, ,128.6, ,10.1, 
44,U.C. Riverside,Los Angeles Basin,1/5/2000,005,3.95, ,0.00, ,148, ,0.4, ,22.2, ,6.2, ,14.6, ,43, ,13, ,22, ,-6.7, ,3.9,Y,340.5,Y,10.1, 
44,U.C. Riverside,Los Angeles Basin,1/6/2000,006,3.79, ,0.00, ,152, ,0.2, ,21.1, ,7.0, ,14.6, ,25, ,9, ,14, ,-12.6, ,3.5, ,303.3, ,9.8, 
44,U.C. Riverside,Los Angeles Basin,1/7/2000,007,1.99, ,0.00, ,127, ,0.4, ,19.4, ,4.1, ,10.9, ,60, ,13, ,27, ,-7.2, ,1.3, ,112.0, ,9.4, 
44,U.C. Riverside,Los Angeles Basin,1/8/2000,008,2.28, ,0.00, ,148, ,0.4, ,20.5, ,2.7, ,11.1, ,56, ,12, ,28, ,-6.5, ,1.4, ,123.1, ,9.3, 
44,U.C. Riverside,Los Angeles Basin,1/9/2000,009,2.08, ,0.00, ,126, ,0.5, ,19.1, ,2.9, ,10.9, ,54, ,18, ,35, ,-3.9, ,1.4, ,118.6, ,9.3, 
44,U.C. Riverside,Los Angeles Basin,1/10/2000,010,1.96, ,0.00, ,137, ,0.6, ,19.3, ,3.9, ,10.6, ,74, ,26, ,47, ,-0.1, ,1.3, ,112.8, ,9.6, 
44,U.C. Riverside,Los Angeles Basin,1/11/2000,011,1.76, ,0.00,H,132, ,0.9,H,18.9, ,3.5, ,10.7,H,91,H,40,H,68, ,4.9, ,1.3,H,112.3,H,9.8,H
44,U.C. Riverside,Los Angeles Basin,1/12/2000,012,1.42, ,0.00, ,126, ,1.0, ,17.7, ,4.5, ,10.2, ,97, ,56, ,80, ,7.0, ,1.2, ,104.2, ,10.2, 
44,U.C. Riverside,Los Angeles Basin,1/13/2000,013,2.20, ,0.00, ,146, ,0.8, ,26.2, ,5.3, ,14.4, ,92, ,19, ,47, ,3.2, ,1.3, ,115.9, ,10.6, 
44,U.C. Riverside,Los Angeles Basin,1/14/2000,014,2.73, ,0.00, ,136, ,0.6, ,27.4, ,9.2, ,16.9, ,50, ,12, ,29, ,-1.2, ,1.4, ,117.5, ,11.2, 
